id;code;priority;date_creation;date_modify;last_modify_by;created_by;notes
1;bus Adolphe;green Belize Rubber;2023-05-22T15:41:33;2023-05-22T17:58:15;auxiliary Chicken;synthesizing;lime payment Auto
2;Intelligent Architecte;Cap-Vert RSS d'Alésia;2023-05-21T22:37:11;2023-05-22T02:07:31;synthesize Buckinghamshire solid;orchestrate Consultant Denar;salmon
3;Handcrafted;Architecte a b;2023-05-21T21:53:03;2023-05-22T04:16:24;Refined exuding RAM;world-class a;morph radical Cambridgeshire
4;Ameliorated;payment Secured;2023-05-22T01:19:57;2023-05-22T01:22:19;context-sensitive;Programmable overriding;digital port
5;teal Coordinateur lavender;Digitized Producteur;2023-05-22T03:21:57;2023-05-21T23:19:09;a Cambridgeshire Rubber;rich redundant;Cambridgeshire Industrial Plastic
6;solid;Tasty;2023-05-22T05:15:05;2023-05-22T18:00:07;Tasty;Rubber impactful virtual;cross-platform Cordoba
7;Coordinateur invoice Account;Frozen;2023-05-22T10:02:58;2023-05-22T10:06:26;dedicated;Bacon;Sol user-centric c
8;open-source Brunei;maximized Ouguiya Credit;2023-05-22T17:01:30;2023-05-22T04:11:46;Rubber system directional;Sleek black;c
9;navigate Clothing;Soft Shirt Syrie;2023-05-21T21:14:03;2023-05-22T01:02:14;Caumartin overriding Account;payment;Franche-Comté Cheese
10;yellow Technicien program;invoice;2023-05-21T21:08:59;2023-05-22T04:34:40;Intelligent systematic Guyane;Industrial;hour deposit
